artist,price,date,venue,songid1,songid2,deleted
Protomartyr,$15-$18,12-10-2018,Bluebird Theater,7BVk87ORFR4imfNwHOFPs2,3px7bE2OuvLHJHLxpZMgF6,False
Preoccupations,$15-$18,12-10-2018,Bluebird Theater,58ITGKThH6gQ4qfkir8kKb,3d5lGpqxg1cMEYrgTaGxZy,False
H.E.R.,$35-$75,12-11-2018,Ogden Theatre,6lzLjIOyWTyTJvk0jraYee,6fbYL76UWbHdYq4B91TPQi,False
Bone Thugs-N-Harmony,$10.75-$25,12-14-2018,Fillmore Auditorium,5KSJ9k1FYjFLnIRlJT2wF8,1dF5Y2dd7Wm4wZKvVjWBpr,False
Tha Dogg Pound,$10.75-$25,12-14-2018,Fillmore Auditorium,4cgJF9rKas2H5AC8FnNts0,2rwmKpWW6o6anOhvcyiJOw,False
Twista,$10.75-$25,12-14-2018,Fillmore Auditorium,2tOZtdbkAMQASWokLvSlzj,3A4cpTBPaIQdtPFb5JxtaX,False
The New Mastersounds,$25,12-14-2018,Ogden Theatre,0sGFsWPYyhN4X9LKT1EiOv,1cGpjqxs56wNKE6LOBnUcD,False
Brent Cowles,$12-$15,12-14-2018,Bluebird Theater,7vuqnP51TJYSLbHQcoKuOj,5eoKQlJjP6A8JKjJVAcLUw,False
Strange Americans,$12-$15,12-14-2018,Bluebird Theater,0hyaWlrMtDV349Qsy5m35d,6X8hwMrtlBX4rv5wAjYHQW,False
EOTO,$19.99-$30,12-14-2018,Gothic Theatre,6S8RvLboyOMvAqtq2xx7jT,3HUlnkkeg0zaDWarGpARah,False
Getter,$29.25,12-15-2018,Fillmore Auditorium,26zo23frbrONsEJs6m2drZ,1AADsJz09BwnKW4yYFQwXU,False
Blunts & Blondes,$29.25,12-15-2018,Fillmore Auditorium,0UoctgWsh3SPB3Saeta4kD,1yNjG9UnHqpG9aueT7cTwg,False
Party Favor,$29.25,12-15-2018,Fillmore Auditorium,4Ijr3J0lnLCGZvpXBiqCjU,0FknXlaOeXD7Vto1Hx9wtP,False
Ubur,$29.25,12-15-2018,Fillmore Auditorium,2MEn8xdODa3xPtmItInY4w,2C7KSL0jA5kAh2xB9nPIY7,False
Rebirth Brass Band,$25-$30,12-15-2018,Bluebird Theater,5UqzRN9qi2oxmKWff9oIRC,4gLjinADyf18gkEqucCM7b,False
BoomBox,$25,12-21-2018,Fillmore Auditorium,6X4f2HyaLrwTVi5juD27jY,0DwSMZycvxVKStsXe3Zp8v,False
Classixx,$25,12-21-2018,Fillmore Auditorium,1GdkQKNGLMtPaUvtcjOeSj,3ag0mmWT8c63tnW2K3gpH1,False
The Jons,$10-$25,12-21-2018,Bluebird Theater,68gy9Q6uC6NStyzzAVcOGe,6sD4tXSqTzuzi0kOycmslF,False
Roger Clyne & the Peacemakers,$27-$100,12-22-2018,Gothic Theatre,19sVCFHM39UPba8BagNqW4,3kzQgrK3fRfQSOlqa9mYYf,False
